AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
E08000001,Bolton,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.69,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000002,Bury,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.55,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000003,Manchester,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,3.8,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000004,Oldham ,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,0.83,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000005,Rochdale,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.79,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000006,Salford,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.48,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000007,Stockport,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.04,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000008,Tameside,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.73,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000009,Trafford,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.7,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E08000010,Wigan,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.21,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E10000017,Lancashire,County or Unitary Authority,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,3.97,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,This data was aggregated and may show differences to other published figures
E07000117,Burnley,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,5.28,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000118,Chorley,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.55,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000119,Fylde,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,6.14,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000120,Hyndburn,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,1.22,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000121,Lancaster,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,7.7,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000122,Pendle,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,4.18,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000123,Preston,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.03,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000124,Ribble Valley,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,8.12,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000125,Rossendale,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,8.47,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000126,South Ribble,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,2.7,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
E07000127,West Lancashire,Local Authority District,"Museums per 100,000 population","Museums per 100,000 population",Mission 9,"Restoring a sense of community, local pride and belonging",2021-09-30T00:00:00,0.85,"Counts of museums per 100,000 people","Count per 100,000 people",,,,1,
