AREACD,Period,Gross value added in pounds (million)
S01012725,2001,9.64
S01012726,2001,1.878
S01012727,2001,1.942
S01012728,2001,0.677
S01012729,2001,0.424
S01012730,2001,0.981
S01012731,2001,0.192
S01012732,2001,0.042
S01012733,2001,1.645
S01012734,2001,1.779
S01012735,2001,1.814
S01012736,2001,1.707
S01012737,2001,1.061
S01012738,2001,0.726
S01012739,2001,1.209
S01012740,2001,2.352
S01012741,2001,1.888
S01012742,2001,2.01
S01012743,2001,1.052
S01012744,2001,0.096
S01012745,2001,1.788
S01012746,2001,1.94
S01012747,2001,1.904
S01012748,2001,2.076
S01012749,2001,0.798
S01012750,2001,2.738
S01012751,2001,0.378
S01012752,2001,347.079
S01012753,2001,0.638
S01012754,2001,0.638
S01012755,2001,0.281
S01012756,2001,1.47
S01012757,2001,1.067
S01012758,2001,3.185
S01012759,2001,1.66
S01012760,2001,19.93
S01012761,2001,0.663
S01012762,2001,0.679
S01012763,2001,1.327
S01012764,2001,0.354
S01012765,2001,1.224
S01012766,2001,1.629
S01012767,2001,0.865
S01012768,2001,1.224
S01012769,2001,1.224
S01012770,2001,2.528
S01012771,2001,12.436
S01012772,2001,1.099
S01012773,2001,0.799
S01012774,2001,10.119
S01012775,2001,2.975
S01012776,2001,2.917
S01012777,2001,21.696
S01012778,2001,6.491
S01012779,2001,0.92
S01012780,2001,63.193
S01012781,2001,14.491
S01012782,2001,1.025
S01012783,2001,0.54
S01012784,2001,1.062
S01012785,2001,1.566
S01012786,2001,2.68
S01012787,2001,0.542
S01012788,2001,1.473
S01012789,2001,0.575
S01012790,2001,30.428
S01012791,2001,30.428
S01012792,2001,9.69
S01012793,2001,164.449
S01012794,2001,43.578
S01012795,2001,2.476
S01012796,2001,0.632
S01012797,2001,44.643
S01012798,2001,4.134
S01012799,2001,4.78
S01012800,2001,27.748
S01012801,2001,10.447
S01012802,2001,3.44
S01012803,2001,2.525
S01012804,2001,1.432
S01012805,2001,1.263
S01012806,2001,9.237
S01012807,2001,2.466
S01012808,2001,189.803
S01012809,2001,6.906
S01012810,2001,9.224
S01012811,2001,6.514
S01012812,2001,1.557
S01012813,2001,9.224
S01012814,2001,0.622
S01012815,2001,3.305
S01012816,2001,3.139
S01012817,2001,1.165
S01012818,2001,2.222
S01012819,2001,3.496
S01012820,2001,1.618
S01012821,2001,1.914
S01012822,2001,1.332
S01012823,2001,0.814
S01012824,2001,1.042
S01012825,2001,0.725
S01012826,2001,0.929
S01012827,2001,30.403
S01012828,2001,1.556
S01012829,2001,3.608
S01012830,2001,2.182
S01012831,2001,0.542
S01012832,2001,1.053
S01012833,2001,2.104
S01012834,2001,0.326
S01012835,2001,2.342
S01012836,2001,1.806
S01012837,2001,1.588
S01012838,2001,0.278
S01012839,2001,0.278
S01012840,2001,1.178
S01012841,2001,4.693
S01012842,2001,5.193
S01012843,2001,2.186
S01012844,2001,3.249
S01012845,2001,6.999
S01012846,2001,17.266
S01012847,2001,2.067
S01012848,2001,0.257
S01012849,2001,2.64
S01012850,2001,3.058
S01012851,2001,1.385
S01012852,2001,1.935
S01012853,2001,3.355
S01012854,2001,1.951
S01012855,2001,6.064
S01012856,2001,23.074
S01012857,2001,1.373
S01012858,2001,34.083
S01012859,2001,30.576
S01012860,2001,21.673
S01012861,2001,1.461
S01012862,2001,14.623
S01012863,2001,14.877
S01012864,2001,29.807
S01012865,2001,1.257
S01012866,2001,1.927
S01012867,2001,1.092
S01012868,2001,0.734
S01012869,2001,0.534
S01012870,2001,2.075
S01012871,2001,1.243
S01012872,2001,1.79
S01012873,2001,1.158
S01012874,2001,0.306
S01012875,2001,0.755
S01012876,2001,0.802
S01012877,2001,1.864
S01012878,2001,0.551
S01012879,2001,5.913
S01012880,2001,3.833
S01012881,2001,2.371
S01012882,2001,0.091
S01012883,2001,1.219
S01012884,2001,0.789
S01012885,2001,1.453
S01012886,2001,0.821
S01012887,2001,1.567
S01012888,2001,2.685
S01012889,2001,4.008
S01012890,2001,1.417
S01012891,2001,2.512
S01012892,2001,1.352
S01012893,2001,0.323
S01012894,2001,3.065
S01012895,2001,57.717
S01012896,2001,2.583
S01012897,2001,3.421
S01012898,2001,2.253
S01012899,2001,1.472
S01012900,2001,134.234
S01012901,2001,1.038
S01012902,2001,0.77
S01012903,2001,1.212
S01012904,2001,1.097
S01012905,2001,0.567
S01012906,2001,0.081
S01012907,2001,2.102
S01012908,2001,1.295
S01012909,2001,2.322
S01012910,2001,1.014
S01012911,2001,2.889
S01012912,2001,3.316
S01012913,2001,0.788
S01012914,2001,4.197
S01012915,2001,17.142
S01012916,2001,4.055
S01012917,2001,1.312
S01012918,2001,0.901
S01012919,2001,0.467
S01012920,2001,0.871
S01012921,2001,1.793
S01012922,2001,2.451
S01012923,2001,7.249
S01012924,2001,0.638
S01012925,2001,0.766
S01012926,2001,1.091
S01012927,2001,1.091
S01012928,2001,41.363
S01012929,2001,3.757
S01012930,2001,16.835
S01012931,2001,1.184
S01012932,2001,2.309
S01012933,2001,1.393
S01012934,2001,77.323
S01012935,2001,2.754
S01012936,2001,1.518
S01012937,2001,1.173
S01012938,2001,1.081
S01012939,2001,1.564
S01012940,2001,2.228
S01012941,2001,3.37
S01012942,2001,2.109
S01012943,2001,16.459
S01012944,2001,1.452
S01012945,2001,381.41
S01012946,2001,13.74
S01012947,2001,1.61
S01012948,2001,0.722
S01012949,2001,10.575
S01012950,2001,54.995
S01012951,2001,2.676
S01012952,2001,7.399
S01012953,2001,0.6
S01012954,2001,0.6
S01012955,2001,50.097
S01012956,2001,3.855
S01012957,2001,2.48
S01012958,2001,0.629
S01012959,2001,0.6
S01012960,2001,1.102
S01012961,2001,0.348
S01012962,2001,1.02
S01012963,2001,0.061
S01012964,2001,1.759
S01012965,2001,1.925
S01012966,2001,3.135
S01012967,2001,1.576
S01012968,2001,0.061
S01012969,2001,1.42
S01012970,2001,1.189
S01012971,2001,0.688
S01012972,2001,1.798
S01012973,2001,0.623
S01012974,2001,6.808
S01012975,2001,0.299
S01012976,2001,3.326
S01012977,2001,0.299
S01012978,2001,1.159
S01012979,2001,1.317
S01012980,2001,3.359
S01012981,2001,0.68
S01012982,2001,1.128
S01012983,2001,0.729
S01012984,2001,3.359
S01012985,2001,0.793
S01012986,2001,7.094
S01012987,2001,1.208
S01012988,2001,1.698
S01012989,2001,2.147
S01012990,2001,1.298
S01012991,2001,1.066
S01012992,2001,1.729
S01012993,2001,0.626
S01012994,2001,0.7
S01012995,2001,0.869
S01012996,2001,0.936
S01012997,2001,0.846
S01012998,2001,228.766
S01012999,2001,0.732
S01013000,2001,0.12
S01013001,2001,2.542
S01013002,2001,2.957
S01013003,2001,2.702
S01013004,2001,10.922
S01013005,2001,19.134
S01013006,2001,4.693
S01013007,2001,10.922
S01013008,2001,3.129
S01013009,2001,1.958
S01013010,2001,4.798
S01013011,2001,6.083
S01013012,2001,7.142
S01013013,2001,6.976
S01013014,2001,3.787
S01013015,2001,23.169
S01013016,2001,4.912
S01013017,2001,4.098
S01013018,2001,4.674
S01013019,2001,5.177
S01013020,2001,2.026
S01013021,2001,0.833
S01013022,2001,2.82
S01013023,2001,3.169
S01013024,2001,2.5
S01013025,2001,18.444
S01013026,2001,3.224
S01013027,2001,1.17
S01013028,2001,21.98
S01013029,2001,11.521
S01013030,2001,11.521
S01013031,2001,0.788
S01013032,2001,0.766
S01013033,2001,3.637
S01013034,2001,1.87
S01013035,2001,0.71
S01013036,2001,1.554
S01013037,2001,2.449
S01013038,2001,2.203
S01013039,2001,1.119
S01013040,2001,5.059
S01013041,2001,6.828
S01013042,2001,72.092
S01013043,2001,1.12
S01013044,2001,0.428
S01013045,2001,1.475
S01013046,2001,2.171
S01013047,2001,1.582
S01013048,2001,3.54
S01013049,2001,1.433
S01013050,2001,5.206
S01013051,2001,1.229
S01013052,2001,2.51
S01013053,2001,2.536
S01013054,2001,3.562
S01013055,2001,2.109
S01013056,2001,1.057
S01013057,2001,1.21
S01013058,2001,0.984
S01013059,2001,28.271
S01013060,2001,17.044
S01013061,2001,21.754
S01013062,2001,28.271
S01013063,2001,17.044
S01013064,2001,1.487
S01013065,2001,1.889
S01013066,2001,218.996
S01013067,2001,44.19
S01013068,2001,4.469
S01013069,2001,10.595
S01013070,2001,0.707
S01013071,2001,10.595
S01013072,2001,5.124
S01013073,2001,117.421
S01013074,2001,10.678
S01013075,2001,0.202
S01013076,2001,10.837
S01013077,2001,1.003
S01013078,2001,0.309
S01013079,2001,10.837
S01013080,2001,10.265
S01013081,2001,1.724
S01013082,2001,2.572
S01013083,2001,70.911
S01013084,2001,5.305
S01013085,2001,2.192
S01013086,2001,15.011
S01013087,2001,10.639
S01013088,2001,22.205
S01013089,2001,15.011
S01013090,2001,3.326
S01013091,2001,31.648
S01013092,2001,2.711
S01013093,2001,20.853
S01013094,2001,4.035
S01013095,2001,1.931
S01013096,2001,8.541
S01013097,2001,11.363
S01013098,2001,2.785
S01013099,2001,8.349
S01013100,2001,5.605
S01013101,2001,8.93
S01013102,2001,6.834
S01013103,2001,3.515
S01013104,2001,3.526
S01013105,2001,1.945
S01013106,2001,3.805
S01013107,2001,5.122
S01013108,2001,8.099
S01013109,2001,84.057
S01013110,2001,84.057
S01013111,2001,4.648
S01013112,2001,4.318
S01013113,2001,1.652
S01013114,2001,5.411
S01013115,2001,7.37
S01013116,2001,7.244
S01013117,2001,4.494
S01013118,2001,12.626
S01013119,2001,5.144
S01013120,2001,11.581
S01013121,2001,7.075
S01006506,2001,5.012
S01006507,2001,1.661
S01006508,2001,1.508
S01006509,2001,1.201
S01006510,2001,3.978
S01006511,2001,17.047
S01006512,2001,17.047
S01006513,2001,4.302
S01006514,2001,4.751
S01006515,2001,5.385
S01006516,2001,4.491
S01006517,2001,2.778
S01006518,2001,4.354
S01006519,2001,4.621
S01006520,2001,3.135
S01006521,2001,11.68
S01006522,2001,7.09
S01006523,2001,7.807
S01006524,2001,9.21
S01006525,2001,5.799
S01006526,2001,1.287
S01006527,2001,28.325
S01006528,2001,28.325
S01006529,2001,34.054
S01006530,2001,2.777
S01006531,2001,0.582
S01006532,2001,1.59
S01006533,2001,5.725
S01006534,2001,3.894
S01006535,2001,2.712
S01006536,2001,6.013
S01006537,2001,2.762
S01006538,2001,2.319
S01006539,2001,3.446
S01006540,2001,6.008
S01006541,2001,2.27
S01006542,2001,12.537
S01006543,2001,2.147
S01006544,2001,5.478
S01006545,2001,6.667
S01006546,2001,3.238
S01006547,2001,7.892
S01006548,2001,1.328
S01006549,2001,8.48
S01006550,2001,6.649
S01006551,2001,1.144
S01006552,2001,2.914
S01006553,2001,2.734
S01006554,2001,16.374
S01006555,2001,16.374
S01006556,2001,16.374
S01006557,2001,2.29
S01006558,2001,2.467
S01006559,2001,3.433
S01006560,2001,9.636
S01006561,2001,2.627
S01006562,2001,3.626
S01006563,2001,280.404
S01006564,2001,5.698
S01006565,2001,2.89
S01006566,2001,3.032
S01006567,2001,4.02
S01006568,2001,5.698
S01006569,2001,1.937
S01006570,2001,3.091
S01006571,2001,276.978
S01006572,2001,5.338
S01006573,2001,3.75
S01006574,2001,59.026
S01006575,2001,4.378
S01006576,2001,5.214
S01006577,2001,3.592
S01006578,2001,1.445
S01006579,2001,3.936
S01006580,2001,2.289
S01006581,2001,1.543
S01006582,2001,68.992
S01006583,2001,6.841
S01006584,2001,61.516
S01006585,2001,132.444
S01006586,2001,210.955
S01006587,2001,369.322
S01006588,2001,31.728
S01006589,2001,22.754
S01006590,2001,15.17
S01006591,2001,1.266
S01006592,2001,24.585
S01006593,2001,4.249
S01006594,2001,3.809
S01006595,2001,2.298
S01006596,2001,4.028
S01006597,2001,11.062
S01006598,2001,11.935
S01006599,2001,4.05
S01006600,2001,3.667
S01006601,2001,2.457
S01006602,2001,3.005
S01006603,2001,3.614
S01006604,2001,1.668
S01006605,2001,4.016
S01006606,2001,2.306
S01006607,2001,2.073
S01006608,2001,119.393
S01006609,2001,5.616
S01006610,2001,0.976
S01006611,2001,0.739
S01006612,2001,1.636
S01006613,2001,2.01
S01006614,2001,1.356
S01006615,2001,1.853
S01006616,2001,2.571
S01006617,2001,3.862
S01006618,2001,1.781
S01006619,2001,13.511
S01006620,2001,4.196
S01006621,2001,1.306
S01006622,2001,1.328
S01006623,2001,727.626
S01006624,2001,2.205
S01006625,2001,1.851
S01006626,2001,4.432
S01006627,2001,36.518
S01006628,2001,30.061
S01006629,2001,2.327
S01006630,2001,5.962
S01006631,2001,19.882
S01006632,2001,1.041
S01006633,2001,0.092
S01006634,2001,0.104
S01006635,2001,0.406
S01006636,2001,0.069
S01006637,2001,120.193
S01006638,2001,2.195
S01006639,2001,15.454
S01006640,2001,19.171
S01006641,2001,4.828
S01006642,2001,25.683
S01006643,2001,1.192
S01006644,2001,3.446
S01006645,2001,2.406
S01006646,2001,149.44
S01006647,2001,19.501
S01006648,2001,19.682
S01006649,2001,1.381
S01006650,2001,3.251
S01006651,2001,13.232
S01006652,2001,5.478
S01006653,2001,34.723
S01006654,2001,2.897
S01006655,2001,34.723
S01006656,2001,12.087
S01006657,2001,5.64
S01006658,2001,3.3
S01006659,2001,0.932
S01006660,2001,24.632
S01006661,2001,0.701
S01006662,2001,13.424
S01006663,2001,1.581
S01006664,2001,13.424
S01006665,2001,15.482
S01006666,2001,7.49
S01006667,2001,11.233
S01006668,2001,2.127
S01006669,2001,11.233
S01006670,2001,11.113
S01006671,2001,13.972
S01006672,2001,13.972
S01006673,2001,13.972
S01006674,2001,3.222
S01006675,2001,0.958
S01006676,2001,2.299
S01006677,2001,10.313
S01006678,2001,3.691
S01006679,2001,2.106
S01006680,2001,1.111
S01006681,2001,8.398
S01006682,2001,1.526
S01006683,2001,1.278
S01006684,2001,3.141
S01006685,2001,1.564
S01006686,2001,1.386
S01006687,2001,0.775
S01006688,2001,1.345
S01006689,2001,1.347
S01006690,2001,1.887
S01006691,2001,3.663
S01006692,2001,1.267
S01006693,2001,4.019
S01006694,2001,58.78
S01006695,2001,3.329
S01006696,2001,3.704
S01006697,2001,0.565
S01006698,2001,1.039
S01006699,2001,0.669
S01006700,2001,1.332
S01006701,2001,1.115
S01006702,2001,0.897
S01006703,2001,67.157
S01006704,2001,0.997
S01006705,2001,2.97
S01006706,2001,0.879
S01006707,2001,0.889
S01006708,2001,2.216
S01006709,2001,1.03
S01006710,2001,0.898
S01006711,2001,2.195
S01006712,2001,0.999
S01006713,2001,1.732
S01006714,2001,0.313
S01006715,2001,1.05
S01006716,2001,3.489
S01006717,2001,3.489
S01006718,2001,1.319
S01006719,2001,1.202
S01006720,2001,2.468
S01006721,2001,3.387
S01006722,2001,0.812
S01006723,2001,1.323
S01006724,2001,16.217
S01006725,2001,1.188
S01006726,2001,2.397
S01006727,2001,1.037
S01006728,2001,0.167
S01006729,2001,2.517
S01006730,2001,0.75
S01006731,2001,0.078
S01006732,2001,17.858
S01006733,2001,1.887
S01006734,2001,6.426
S01006735,2001,2.841
S01006736,2001,2.579
S01006737,2001,5.669
S01006738,2001,20.501
S01006739,2001,14.207
S01006740,2001,1.081
S01006741,2001,2.083
S01006742,2001,0.989
S01006743,2001,363.674
S01006744,2001,2.84
S01006745,2001,13.379
S01006746,2001,3.074
S01006747,2001,7.631
S01006748,2001,363.674
S01006749,2001,1.465
S01006750,2001,5.647
S01006751,2001,2.327
S01006752,2001,1.832
S01006753,2001,6.371
S01006754,2001,12.118
S01006755,2001,176.665
S01006756,2001,5.381
S01006757,2001,11.057
S01006758,2001,1.564
S01006759,2001,0.864
S01006760,2001,1.0
S01006761,2001,11.057
S01006762,2001,7.847
S01006763,2001,2.147
S01006764,2001,1.194
S01006765,2001,1.028
S01006766,2001,0.943
S01006767,2001,1.157
S01006768,2001,1.648
S01006769,2001,3.258
S01006770,2001,1.328
S01006771,2001,1.283
S01006772,2001,0.588
S01006773,2001,17.857
S01006774,2001,1.493
S01006775,2001,28.833
S01006776,2001,0.897
S01006777,2001,1.221
S01006778,2001,7.095
S01006779,2001,3.668
S01006780,2001,4.082
S01006781,2001,0.864
S01006782,2001,182.58
S01006783,2001,1.678
S01006784,2001,5.145
S01006785,2001,1.535
S01006786,2001,30.469
S01006787,2001,1.369
S01006788,2001,158.265
S01006789,2001,16.648
S01006790,2001,5.542
S01006791,2001,4.331
S01006792,2001,7.023
S01006793,2001,3.718
S01006794,2001,2.096
S01006795,2001,10.117
S01006796,2001,3.095
S01006797,2001,11.347
S01006798,2001,5.759
S01006799,2001,5.422
S01006800,2001,5.043
S01006801,2001,17.092
S01006802,2001,7.805
S01006803,2001,2.037
S01006804,2001,2.037
S01006805,2001,7.288
S01006806,2001,8.1
S01006807,2001,15.026
S01006808,2001,4.416
S01006809,2001,3.458
S01006810,2001,6.789
S01006811,2001,8.574
S01006812,2001,8.496
S01006813,2001,3.721
S01006814,2001,1.289
S01006815,2001,3.429
S01006816,2001,4.067
S01006817,2001,7.67
S01006818,2001,32.805
S01006819,2001,7.918
S01006820,2001,2.899
S01006821,2001,5.896
S01006822,2001,17.73
S01006823,2001,2.717
S01006824,2001,1.816
S01006825,2001,3.814
S01006826,2001,21.837
S01006827,2001,3.151
S01006828,2001,6.718
S01006829,2001,1.184
S01006830,2001,1.229
S01006831,2001,1.585
S01006832,2001,22.413
S01006833,2001,3.745
S01006834,2001,3.137
S01006835,2001,11.141
S01006836,2001,1.371
S01006837,2001,2.993
S01006838,2001,1.858
S01006839,2001,1.79
S01006840,2001,4.605
S01006841,2001,3.337
S01006842,2001,16.772
S01006843,2001,1.745
S01006844,2001,1.81
S01006845,2001,1.251
S01006846,2001,1.358
S01006847,2001,22.218
S01006848,2001,248.619
S01006849,2001,4.483
S01006850,2001,2.574
S01006851,2001,26.886
S01006852,2001,13.087
S01006853,2001,7.479
S01006854,2001,3.446
S01006855,2001,8.004
S01006856,2001,13.942
S01006857,2001,17.13
S01006858,2001,8.765
S01006859,2001,3.233
S01006860,2001,1.872
S01006861,2001,14.101
S01006862,2001,18.175
S01006863,2001,4.47
S01006864,2001,1.609
S01006865,2001,26.007
S01006866,2001,2.516
S01006867,2001,5.723
S01006868,2001,2.655
S01006869,2001,2.973
S01006870,2001,2.518
S01006871,2001,2.217
S01006872,2001,16.467
S01006873,2001,6.659
S01006874,2001,4.945
S01006875,2001,6.522
S01006876,2001,4.989
S01006877,2001,6.298
S01006878,2001,5.416
S01006879,2001,4.191
S01006880,2001,10.944
S01006881,2001,4.629
S01006882,2001,1.859
S01006883,2001,5.61
S01006884,2001,7.217
S01006885,2001,7.466
S01006886,2001,3.885
S01006887,2001,3.266
S01006888,2001,4.336
S01006889,2001,5.583
S01006890,2001,1.128
S01006891,2001,8.955
S01006892,2001,1.649
S01006893,2001,8.955
S01006894,2001,11.977
S01006895,2001,16.417
S01006896,2001,3.994
S01006897,2001,21.931
S01006898,2001,13.791
S01006899,2001,1.373
S01006900,2001,1.442
S01006901,2001,11.977
S01006902,2001,2.375
S01006903,2001,4.322
S01006904,2001,15.702
S01006905,2001,26.743
S01006906,2001,1.608
S01006907,2001,50.926
S01006908,2001,6.413
S01006909,2001,9.798
S01006910,2001,4.328
S01006911,2001,2.798
S01006912,2001,45.189
S01006913,2001,6.516
S01006914,2001,5.032
S01006915,2001,6.753
S01006916,2001,35.505
S01006917,2001,2.776
S01006918,2001,2.333
S01006919,2001,1.832
S01006920,2001,5.8
S01006921,2001,1.274
S01006922,2001,16.56
S01006923,2001,15.122
S01006924,2001,13.39
S01006925,2001,1.459
S01006926,2001,1.651
S01006927,2001,1.328
S01006928,2001,29.398
S01006929,2001,1.95
S01006930,2001,3.321
S01006931,2001,47.094
S01006932,2001,0.864
S01006933,2001,3.293
S01006934,2001,3.513
S01006935,2001,1.764
S01006936,2001,6.876
S01006937,2001,3.619
S01006938,2001,1.546
S01006939,2001,1.052
S01006940,2001,12.836
S01006941,2001,518.355
S01006942,2001,1.933
S01006943,2001,1.78
S01006944,2001,2.815
S01006945,2001,2.57
S01006946,2001,18.453
S01006947,2001,1.959
S01006948,2001,4.547
S01006949,2001,4.1
S01006950,2001,2.368
S01006951,2001,1.734
S01006952,2001,12.016
S01006953,2001,7.551
S01006954,2001,11.393
S01006955,2001,2.807
S01006956,2001,2.544
S01006957,2001,4.757
S01006958,2001,25.856
S01006959,2001,21.664
S01006960,2001,1.675
S01006961,2001,2.271
S01006962,2001,5.812
S01006963,2001,2.835
S01006964,2001,1.219
S01006965,2001,1.343
S01006966,2001,1.932
S01006967,2001,1.004
S01006968,2001,2.973
S01006969,2001,3.918
S01006970,2001,2.625
S01006971,2001,4.506
S01006972,2001,5.49
S01006973,2001,6.781
S01006974,2001,1.651
S01006975,2001,8.964
S01006976,2001,4.763
S01006977,2001,20.078
S01006978,2001,8.836
S01006979,2001,4.105
S01006980,2001,5.729
S01006981,2001,4.97
S01006982,2001,2.858
S01006983,2001,4.162
S01006984,2001,9.628
S01006985,2001,31.887
S01006986,2001,3.994
S01006987,2001,7.441
S01006988,2001,5.077
S01006989,2001,8.633
S01006990,2001,5.31
S01006991,2001,3.5
S01006992,2001,4.098
S01006993,2001,4.684
S01006994,2001,6.181
S01006995,2001,7.576
S01006996,2001,5.385
S01006997,2001,4.839
S01006998,2001,6.646
S01006999,2001,7.217
S01007000,2001,3.353
S01007001,2001,9.677
S01007002,2001,3.376
S01007003,2001,17.088
S01007004,2001,16.482
S01007005,2001,6.999
S01007006,2001,6.667
S01007007,2001,6.464
S01007008,2001,16.573
S01007009,2001,3.097
S01007010,2001,13.244
S01007011,2001,8.218
S01007012,2001,35.13
S01007013,2001,24.684
S01007014,2001,13.859
S01007015,2001,5.893
S01007016,2001,12.582
S01007017,2001,5.0
S01007018,2001,1.403
S01007019,2001,43.3
S01007020,2001,24.919
S01007021,2001,2.588
S01007022,2001,3.458
S01007023,2001,20.064
S01007024,2001,8.725
S01007025,2001,2.079
S01007026,2001,6.638
S01007027,2001,2.32
S01007028,2001,13.18
S01007029,2001,2.438
S01007030,2001,4.096
S01007031,2001,2.681
S01007032,2001,20.718
S01007033,2001,1.604
S01007034,2001,1.469
S01007035,2001,0.993
S01007036,2001,20.649
S01007037,2001,2.686
S01007038,2001,10.139
S01007039,2001,3.74
S01007040,2001,6.646
S01007041,2001,7.811
S01007042,2001,3.278
S01007043,2001,19.899
S01007044,2001,2.512
S01007045,2001,9.192
S01007046,2001,3.243
S01007047,2001,8.871
S01007048,2001,7.454
S01007049,2001,2.793
S01007050,2001,3.642
S01007051,2001,3.498
S01007052,2001,10.985
S01007053,2001,3.185
S01007054,2001,10.985
S01007055,2001,13.949
S01007056,2001,4.716
S01007057,2001,1.606
S01007058,2001,7.873
S01007059,2001,9.921
S01007060,2001,1.123
S01007061,2001,11.183
S01007062,2001,6.401
S01007063,2001,2.742
S01007064,2001,5.375
S01007065,2001,2.341
S01007066,2001,14.764
S01007067,2001,2.086
S01007068,2001,3.194
S01007069,2001,2.725
S01007070,2001,14.764
S01007071,2001,1.554
S01007072,2001,45.298
S01007073,2001,35.273
S01007074,2001,4.188
S01007075,2001,0.691
S01007076,2001,0.679
S01007077,2001,1.91
S01007078,2001,2.492
S01007079,2001,3.042
S01007080,2001,7.73
S01007081,2001,4.733
S01007082,2001,1.809
S01007083,2001,3.275
S01007084,2001,9.002
S01007085,2001,20.511
S01007086,2001,51.614
S01007087,2001,50.405
S01007088,2001,4.733
S01007089,2001,3.771
S01007090,2001,31.413
S01007091,2001,1.233
S01007092,2001,1.35
S01007093,2001,1.572
S01007094,2001,2.608
S01007095,2001,5.828
S01007096,2001,3.387
S01007097,2001,42.494
S01007098,2001,17.213
S01007099,2001,3.186
S01007100,2001,3.199
S01007101,2001,4.641
S01007102,2001,17.978
S01007103,2001,2.97
S01007104,2001,2.845
S01007105,2001,1.468
S01007106,2001,1.579
S01007107,2001,5.049
S01007108,2001,8.677
S01007109,2001,1.675
S01007110,2001,2.311
S01007111,2001,1.184
S01007112,2001,36.027
S01007113,2001,2.868
S01007114,2001,2.643
S01007115,2001,3.466
S01007116,2001,3.356
S01007117,2001,1.843
S01007118,2001,3.479
S01007119,2001,8.109
S01007120,2001,1.9
S01007121,2001,7.206
S01007122,2001,4.921
S01007123,2001,9.836
S01007124,2001,0.923
S01007125,2001,56.534
S01007126,2001,2.723
S01007127,2001,90.113
S01007128,2001,2.011
S01007284,2001,8.444
S01007285,2001,5.343
S01007286,2001,11.692
S01007287,2001,5.616
S01007288,2001,10.282
S01007289,2001,3.967
S01007290,2001,28.593
S01007291,2001,13.373
S01007292,2001,2.006
S01007293,2001,1.588
S01007294,2001,3.633
S01007295,2001,7.942
S01007296,2001,66.634
S01007297,2001,23.996
S01007298,2001,1.03
S01007299,2001,4.72
S01007300,2001,2.222
S01007301,2001,6.365
S01007302,2001,3.479
S01007303,2001,31.095
S01007304,2001,7.497
S01007305,2001,3.076
S01007306,2001,4.859
S01007307,2001,7.05
S01007308,2001,8.444
S01007309,2001,6.289
S01007310,2001,3.733
S01007311,2001,7.966
S01007312,2001,4.215
S01007313,2001,5.351
S01007314,2001,4.904
S01007315,2001,16.969
S01007316,2001,25.078
S01007317,2001,77.322
S01007318,2001,1.574
S01007319,2001,4.776
S01007320,2001,4.966
S01007321,2001,10.833
S01007322,2001,5.507
S01007323,2001,5.795
S01007324,2001,4.378
S01007325,2001,7.966
S01007326,2001,15.656
S01007327,2001,29.706
S01007328,2001,8.018
S01007329,2001,7.378
S01007330,2001,7.377
S01007331,2001,10.497
S01007332,2001,5.37
S01007333,2001,5.353
S01007334,2001,5.906
S01007335,2001,2.485
S01007336,2001,19.623
S01007337,2001,21.483
S01007338,2001,0.837
S01007339,2001,7.115
S01007340,2001,1.549
S01007341,2001,0.664
S01007342,2001,2.441
S01007343,2001,14.97
S01007344,2001,3.455
S01007345,2001,2.896
S01007346,2001,11.314
S01007347,2001,16.138
S01007348,2001,5.547
S01007349,2001,2.344
S01007350,2001,2.975
S01007351,2001,8.176
S01007352,2001,3.721
S01007353,2001,5.689
S01007354,2001,3.297
S01007355,2001,19.948
S01007356,2001,3.035
S01007357,2001,11.991
S01007358,2001,8.499
S01007359,2001,8.702
S01007360,2001,2.196
S01007361,2001,2.531
S01007362,2001,1.405
S01007363,2001,7.994
S01007364,2001,2.356
S01007365,2001,9.233
S01007366,2001,14.066
S01007367,2001,27.112
S01007368,2001,1.232
S01007369,2001,2.815
S01007370,2001,17.888
S01007371,2001,0.952
S01007372,2001,2.927
S01007373,2001,12.893
S01007374,2001,2.29
S01007375,2001,1.642
S01007376,2001,2.718
S01007377,2001,12.893
S01007378,2001,51.933
S01007379,2001,1.061
S01007380,2001,2.939
S01007381,2001,7.207
S01007382,2001,3.112
S01007383,2001,20.768
S01007384,2001,1.043
S01007385,2001,3.021
S01007386,2001,1.762
S01007387,2001,2.596
S01007388,2001,2.873
S01007389,2001,1.569
S01007390,2001,2.515
S01007391,2001,0.339
S01007392,2001,1.907
S01007393,2001,10.859
S01007394,2001,3.856
S01007395,2001,21.126
S01007396,2001,11.884
S01007397,2001,10.902
S01007398,2001,1.38
S01007399,2001,0.777
S01007400,2001,12.433
S01007401,2001,2.126
S01007402,2001,1.515
S01007403,2001,2.947
S01007404,2001,7.805
S01007405,2001,12.545
S01007406,2001,3.514
S01007407,2001,0.579
S01007408,2001,3.12
S01008417,2001,1.244
S01008418,2001,3.343
S01008419,2001,2.348
S01008420,2001,4.059
S01008421,2001,3.492
S01008422,2001,2.577
S01008423,2001,15.985
S01008424,2001,5.613
S01008425,2001,89.981
S01008426,2001,4.733
S01008427,2001,2.037
S01008428,2001,2.813
S01008429,2001,3.253
S01008430,2001,4.811
S01008431,2001,4.303
S01008432,2001,2.998
S01008433,2001,3.709
S01008434,2001,3.019
S01008435,2001,2.548
