Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
alloa-south-and-east-02,Alloa South and East - 02,alloa-south-and-east-02,,70,
alloa-south-and-east-03,Alloa South and East - 03,alloa-south-and-east-03,,71,
alloa-south-and-east-04,Alloa South and East - 04,alloa-south-and-east-04,,72,
alloa-south-and-east-05,Alloa South and East - 05,alloa-south-and-east-05,,73,
alloa-south-and-east-06,Alloa South and East - 06,alloa-south-and-east-06,,74,
alloa-west-01,Alloa West - 01,alloa-west-01,,75,
alloa-west-02,Alloa West - 02,alloa-west-02,,76,
alloa-west-03,Alloa West - 03,alloa-west-03,,77,
alloa-west-04,Alloa West - 04,alloa-west-04,,78,
alloa-west-05,Alloa West - 05,alloa-west-05,,79,
alloway-and-doonfoot-01,Alloway and Doonfoot - 01,alloway-and-doonfoot-01,,80,
alloway-and-doonfoot-02,Alloway and Doonfoot - 02,alloway-and-doonfoot-02,,81,
alloway-and-doonfoot-03,Alloway and Doonfoot - 03,alloway-and-doonfoot-03,,82,
alloway-and-doonfoot-04,Alloway and Doonfoot - 04,alloway-and-doonfoot-04,,83,
alloway-and-doonfoot-05,Alloway and Doonfoot - 05,alloway-and-doonfoot-05,,84,
alloway-and-doonfoot-06,Alloway and Doonfoot - 06,alloway-and-doonfoot-06,,85,
alloway-and-doonfoot-07,Alloway and Doonfoot - 07,alloway-and-doonfoot-07,,86,
alloway-and-doonfoot-08,Alloway and Doonfoot - 08,alloway-and-doonfoot-08,,87,
alness-01,Alness - 01,alness-01,,88,
alness-02,Alness - 02,alness-02,,89,
alness-03,Alness - 03,alness-03,,90,
alness-04,Alness - 04,alness-04,,91,
alness-05,Alness - 05,alness-05,,92,
alness-06,Alness - 06,alness-06,,93,
alness-07,Alness - 07,alness-07,,94,
alness-08,Alness - 08,alness-08,,95,
altonhill-north-and-onthank-01,Altonhill North and Onthank - 01,altonhill-north-and-onthank-01,,96,
altonhill-north-and-onthank-02,Altonhill North and Onthank - 02,altonhill-north-and-onthank-02,,97,
altonhill-north-and-onthank-03,Altonhill North and Onthank - 03,altonhill-north-and-onthank-03,,98,
altonhill-north-and-onthank-04,Altonhill North and Onthank - 04,altonhill-north-and-onthank-04,,99,
altonhill-north-and-onthank-05,Altonhill North and Onthank - 05,altonhill-north-and-onthank-05,,100,
altonhill-north-and-onthank-06,Altonhill North and Onthank - 06,altonhill-north-and-onthank-06,,101,
altonhill-south-longpark-and-hillhead-01,"Altonhill South, Longpark and Hillhead - 01",altonhill-south-longpark-and-hillhead-01,,102,
altonhill-south-longpark-and-hillhead-02,"Altonhill South, Longpark and Hillhead - 02",altonhill-south-longpark-and-hillhead-02,,103,
altonhill-south-longpark-and-hillhead-03,"Altonhill South, Longpark and Hillhead - 03",altonhill-south-longpark-and-hillhead-03,,104,
altonhill-south-longpark-and-hillhead-04,"Altonhill South, Longpark and Hillhead - 04",altonhill-south-longpark-and-hillhead-04,,105,
altonhill-south-longpark-and-hillhead-05,"Altonhill South, Longpark and Hillhead - 05",altonhill-south-longpark-and-hillhead-05,,106,
altonhill-south-longpark-and-hillhead-06,"Altonhill South, Longpark and Hillhead - 06",altonhill-south-longpark-and-hillhead-06,,107,
altonhill-south-longpark-and-hillhead-07,"Altonhill South, Longpark and Hillhead - 07",altonhill-south-longpark-and-hillhead-07,,108,
alva-01,Alva - 01,alva-01,,109,
alva-02,Alva - 02,alva-02,,110,
alva-03,Alva - 03,alva-03,,111,
alva-04,Alva - 04,alva-04,,112,
alva-05,Alva - 05,alva-05,,113,
alva-06,Alva - 06,alva-06,,114,
alva-07,Alva - 07,alva-07,,115,
alyth-01,Alyth - 01,alyth-01,,116,
alyth-02,Alyth - 02,alyth-02,,117,
alyth-03,Alyth - 03,alyth-03,,118,
alyth-04,Alyth - 04,alyth-04,,119,
ancrum-and-lanton-area,Ancrum and Lanton Area,ancrum-and-lanton-area,,120,
anderston-01,Anderston - 01,anderston-01,,121,
anderston-02,Anderston - 02,anderston-02,,122,
anderston-03,Anderston - 03,anderston-03,,123,
anderston-04,Anderston - 04,anderston-04,,124,
anderston-05,Anderston - 05,anderston-05,,125,
anderston-06,Anderston - 06,anderston-06,,126,
angus-glens-01,Angus Glens - 01,angus-glens-01,,127,
angus-glens-02,Angus Glens - 02,angus-glens-02,,128,
angus-glens-03,Angus Glens - 03,angus-glens-03,,129,
angus-glens-04,Angus Glens - 04,angus-glens-04,,130,
angus-glens-05,Angus Glens - 05,angus-glens-05,,131,
annan-east-01,Annan East - 01,annan-east-01,,132,
annan-east-02,Annan East - 02,annan-east-02,,133,
annan-east-03,Annan East - 03,annan-east-03,,134,
annan-east-04,Annan East - 04,annan-east-04,,135,
annan-east-05,Annan East - 05,annan-east-05,,136,
annan-east-06,Annan East - 06,annan-east-06,,137,
annan-east-07,Annan East - 07,annan-east-07,,138,
annan-east-08,Annan East - 08,annan-east-08,,139,
annan-west-01,Annan West - 01,annan-west-01,,140,
annan-west-02,Annan West - 02,annan-west-02,,141,
annan-west-03,Annan West - 03,annan-west-03,,142,
annan-west-04,Annan West - 04,annan-west-04,,143,
annandale-east-01,Annandale East - 01,annandale-east-01,,144,
annandale-east-02,Annandale East - 02,annandale-east-02,,145,
annandale-east-03,Annandale East - 03,annandale-east-03,,146,
annandale-east-04,Annandale East - 04,annandale-east-04,,147,
annandale-east-05,Annandale East - 05,annandale-east-05,,148,
annandale-west-01,Annandale West - 01,annandale-west-01,,149,
annandale-west-02,Annandale West - 02,annandale-west-02,,150,
annandale-west-03,Annandale West - 03,annandale-west-03,,151,
annandale-west-04,Annandale West - 04,annandale-west-04,,152,
annbank-mossblown-and-tarbolton-the-coalfields-01,"Annbank, Mossblown and Tarbolton - the Coalfields - 01",annbank-mossblown-and-tarbolton-the-coalfields-01,,153,
annbank-mossblown-and-tarbolton-the-coalfields-02,"Annbank, Mossblown and Tarbolton - the Coalfields - 02",annbank-mossblown-and-tarbolton-the-coalfields-02,,154,
annbank-mossblown-and-tarbolton-the-coalfields-03,"Annbank, Mossblown and Tarbolton - the Coalfields - 03",annbank-mossblown-and-tarbolton-the-coalfields-03,,155,
annbank-mossblown-and-tarbolton-the-coalfields-04,"Annbank, Mossblown and Tarbolton - the Coalfields - 04",annbank-mossblown-and-tarbolton-the-coalfields-04,,156,
annbank-mossblown-and-tarbolton-the-coalfields-05,"Annbank, Mossblown and Tarbolton - the Coalfields - 05",annbank-mossblown-and-tarbolton-the-coalfields-05,,157,
annbank-mossblown-and-tarbolton-the-coalfields-06,"Annbank, Mossblown and Tarbolton - the Coalfields - 06",annbank-mossblown-and-tarbolton-the-coalfields-06,,158,
annbank-mossblown-and-tarbolton-the-coalfields-07,"Annbank, Mossblown and Tarbolton - the Coalfields - 07",annbank-mossblown-and-tarbolton-the-coalfields-07,,159,
anniesland-east-01,Anniesland East - 01,anniesland-east-01,,160,
anniesland-east-02,Anniesland East - 02,anniesland-east-02,,161,
anniesland-east-03,Anniesland East - 03,anniesland-east-03,,162,
anniesland-east-04,Anniesland East - 04,anniesland-east-04,,163,
anniesland-east-05,Anniesland East - 05,anniesland-east-05,,164,
anniesland-west-01,Anniesland West - 01,anniesland-west-01,,165,
anniesland-west-02,Anniesland West - 02,anniesland-west-02,,166,
anniesland-west-03,Anniesland West - 03,anniesland-west-03,,167,
anniesland-west-04,Anniesland West - 04,anniesland-west-04,,168,
anniesland-west-05,Anniesland West - 05,anniesland-west-05,,169,
anniesland-west-06,Anniesland West - 06,anniesland-west-06,,170,
anniesland-west-07,Anniesland West - 07,anniesland-west-07,,171,
anniesland-west-08,Anniesland West - 08,anniesland-west-08,,172,
anstruther,Anstruther,anstruther,,173,
anstruther-east-and-cellardyke,Anstruther East and Cellardyke,anstruther-east-and-cellardyke,,174,
anstruther-south-west,Anstruther South West,anstruther-south-west,,175,
anstruther-waid,Anstruther Waid,anstruther-waid,,176,
anstruther-west,Anstruther West,anstruther-west,,177,
arbroath-cliffburn-01,Arbroath Cliffburn - 01,arbroath-cliffburn-01,,178,
arbroath-cliffburn-02,Arbroath Cliffburn - 02,arbroath-cliffburn-02,,179,
arbroath-cliffburn-03,Arbroath Cliffburn - 03,arbroath-cliffburn-03,,180,
arbroath-cliffburn-04,Arbroath Cliffburn - 04,arbroath-cliffburn-04,,181,
arbroath-cliffburn-05,Arbroath Cliffburn - 05,arbroath-cliffburn-05,,182,
arbroath-cliffburn-06,Arbroath Cliffburn - 06,arbroath-cliffburn-06,,183,
arbroath-cliffburn-07,Arbroath Cliffburn - 07,arbroath-cliffburn-07,,184,
arbroath-harbour-01,Arbroath Harbour - 01,arbroath-harbour-01,,185,
arbroath-harbour-02,Arbroath Harbour - 02,arbroath-harbour-02,,186,
arbroath-harbour-03,Arbroath Harbour - 03,arbroath-harbour-03,,187,
arbroath-harbour-04,Arbroath Harbour - 04,arbroath-harbour-04,,188,
arbroath-harbour-05,Arbroath Harbour - 05,arbroath-harbour-05,,189,
arbroath-harbour-06,Arbroath Harbour - 06,arbroath-harbour-06,,190,
arbroath-keptie-01,Arbroath Keptie - 01,arbroath-keptie-01,,191,
arbroath-keptie-02,Arbroath Keptie - 02,arbroath-keptie-02,,192,
arbroath-keptie-03,Arbroath Keptie - 03,arbroath-keptie-03,,193,
arbroath-keptie-04,Arbroath Keptie - 04,arbroath-keptie-04,,194,
arbroath-kirkton-01,Arbroath Kirkton - 01,arbroath-kirkton-01,,195,
arbroath-kirkton-02,Arbroath Kirkton - 02,arbroath-kirkton-02,,196,
arbroath-kirkton-03,Arbroath Kirkton - 03,arbroath-kirkton-03,,197,
arbroath-kirkton-04,Arbroath Kirkton - 04,arbroath-kirkton-04,,198,
arbroath-kirkton-05,Arbroath Kirkton - 05,arbroath-kirkton-05,,199,
arbroath-kirkton-06,Arbroath Kirkton - 06,arbroath-kirkton-06,,200,
arbroath-kirkton-07,Arbroath Kirkton - 07,arbroath-kirkton-07,,201,
arbroath-landward-01,Arbroath Landward - 01,arbroath-landward-01,,202,
arbroath-landward-02,Arbroath Landward - 02,arbroath-landward-02,,203,
arbroath-landward-03,Arbroath Landward - 03,arbroath-landward-03,,204,
arbroath-warddykes-01,Arbroath Warddykes - 01,arbroath-warddykes-01,,205,
arbroath-warddykes-02,Arbroath Warddykes - 02,arbroath-warddykes-02,,206,
arbroath-warddykes-03,Arbroath Warddykes - 03,arbroath-warddykes-03,,207,
arbroath-warddykes-04,Arbroath Warddykes - 04,arbroath-warddykes-04,,208,
arbroath-warddykes-05,Arbroath Warddykes - 05,arbroath-warddykes-05,,209,
arbroath-warddykes-06,Arbroath Warddykes - 06,arbroath-warddykes-06,,210,
arbroath-warddykes-07,Arbroath Warddykes - 07,arbroath-warddykes-07,,211,
ardler-and-st-marys-01,Ardler and St Marys - 01,ardler-and-st-marys-01,,212,
ardler-and-st-marys-02,Ardler and St Marys - 02,ardler-and-st-marys-02,,213,
ardler-and-st-marys-03,Ardler and St Marys - 03,ardler-and-st-marys-03,,214,
ardler-and-st-marys-04,Ardler and St Marys - 04,ardler-and-st-marys-04,,215,
ardler-and-st-marys-05,Ardler and St Marys - 05,ardler-and-st-marys-05,,216,
ardler-and-st-marys-06,Ardler and St Marys - 06,ardler-and-st-marys-06,,217,
ardler-and-st-marys-07,Ardler and St Marys - 07,ardler-and-st-marys-07,,218,
ardler-and-st-marys-08,Ardler and St Marys - 08,ardler-and-st-marys-08,,219,
ardrossan-central-01,Ardrossan Central - 01,ardrossan-central-01,,220,
ardrossan-central-02,Ardrossan Central - 02,ardrossan-central-02,,221,
ardrossan-central-03,Ardrossan Central - 03,ardrossan-central-03,,222,
ardrossan-central-04,Ardrossan Central - 04,ardrossan-central-04,,223,
ardrossan-north-east-01,Ardrossan North East - 01,ardrossan-north-east-01,,224,
ardrossan-north-east-02,Ardrossan North East - 02,ardrossan-north-east-02,,225,
ardrossan-north-east-03,Ardrossan North East - 03,ardrossan-north-east-03,,226,
ardrossan-north-east-04,Ardrossan North East - 04,ardrossan-north-east-04,,227,
ardrossan-north-east-05,Ardrossan North East - 05,ardrossan-north-east-05,,228,
ardrossan-north-west-01,Ardrossan North West - 01,ardrossan-north-west-01,,229,
ardrossan-north-west-02,Ardrossan North West - 02,ardrossan-north-west-02,,230,
ardrossan-north-west-03,Ardrossan North West - 03,ardrossan-north-west-03,,231,
ardrossan-north-west-04,Ardrossan North West - 04,ardrossan-north-west-04,,232,
armadale-01,Armadale - 01,armadale-01,,233,
armadale-02,Armadale - 02,armadale-02,,234,
armadale-03,Armadale - 03,armadale-03,,235,
armadale-04,Armadale - 04,armadale-04,,236,
armadale-05,Armadale - 05,armadale-05,,237,
armadale-06,Armadale - 06,armadale-06,,238,
armadale-07,Armadale - 07,armadale-07,,239,
armadale-08,Armadale - 08,armadale-08,,240,
armadale-09,Armadale - 09,armadale-09,,241,
armadale-south-01,Armadale South - 01,armadale-south-01,,242,
armadale-south-02,Armadale South - 02,armadale-south-02,,243,
armadale-south-03,Armadale South - 03,armadale-south-03,,244,
armadale-south-04,Armadale South - 04,armadale-south-04,,245,
armadale-south-05,Armadale South - 05,armadale-south-05,,246,
armadale-south-06,Armadale South - 06,armadale-south-06,,247,
armadale-south-07,Armadale South - 07,armadale-south-07,,248,
armadale-south-08,Armadale South - 08,armadale-south-08,,249,
arran-01,Arran - 01,arran-01,,250,
arran-02,Arran - 02,arran-02,,251,
arran-03,Arran - 03,arran-03,,252,
arran-04,Arran - 04,arran-04,,253,
arran-05,Arran - 05,arran-05,,254,
arran-06,Arran - 06,arran-06,,255,
arran-07,Arran - 07,arran-07,,256,
ashgill-and-netherburn-01,Ashgill and Netherburn - 01,ashgill-and-netherburn-01,,257,
ashgill-and-netherburn-02,Ashgill and Netherburn - 02,ashgill-and-netherburn-02,,258,
ashgill-and-netherburn-03,Ashgill and Netherburn - 03,ashgill-and-netherburn-03,,259,
ashgrove-01,Ashgrove - 01,ashgrove-01,,260,
ashgrove-02,Ashgrove - 02,ashgrove-02,,261,
ashgrove-03,Ashgrove - 03,ashgrove-03,,262,
ashgrove-04,Ashgrove - 04,ashgrove-04,,263,
ashgrove-05,Ashgrove - 05,ashgrove-05,,264,
ashkirk-lilliesleaf-and-midlem-area,Ashkirk Lilliesleaf and Midlem Area,ashkirk-lilliesleaf-and-midlem-area,,265,
auchenback-01,Auchenback - 01,auchenback-01,,266,
auchenback-02,Auchenback - 02,auchenback-02,,267,
auchenback-03,Auchenback - 03,auchenback-03,,268,
auchenback-04,Auchenback - 04,auchenback-04,,269,
auchenback-05,Auchenback - 05,auchenback-05,,270,
auchinairn-01,Auchinairn - 01,auchinairn-01,,271,
auchinairn-02,Auchinairn - 02,auchinairn-02,,272,
auchinairn-03,Auchinairn - 03,auchinairn-03,,273,
auchinairn-04,Auchinairn - 04,auchinairn-04,,274,
auchinairn-05,Auchinairn - 05,auchinairn-05,,275,
auchinairn-06,Auchinairn - 06,auchinairn-06,,276,
auchinleck-01,Auchinleck - 01,auchinleck-01,,277,
auchinleck-02,Auchinleck - 02,auchinleck-02,,278,
auchinleck-03,Auchinleck - 03,auchinleck-03,,279,
auchinleck-04,Auchinleck - 04,auchinleck-04,,280,
auchmuty-dovecot-and-town-centre,Auchmuty Dovecot and Town Centre,auchmuty-dovecot-and-town-centre,,281,
auchmuty-east,Auchmuty East,auchmuty-east,,282,
auchmuty-north-west,Auchmuty North West,auchmuty-north-west,,283,
auchmuty-west,Auchmuty West,auchmuty-west,,284,
auchnagatt-01,Auchnagatt - 01,auchnagatt-01,,285,
auchnagatt-02,Auchnagatt - 02,auchnagatt-02,,286,
auchnagatt-03,Auchnagatt - 03,auchnagatt-03,,287,
auchnagatt-04,Auchnagatt - 04,auchnagatt-04,,288,
auchterarder-01,Auchterarder - 01,auchterarder-01,,289,
auchterarder-02,Auchterarder - 02,auchterarder-02,,290,
auchterarder-03,Auchterarder - 03,auchterarder-03,,291,
auchterarder-04,Auchterarder - 04,auchterarder-04,,292,
auchterarder-05,Auchterarder - 05,auchterarder-05,,293,
auchterderran-landward-and-cluny,Auchterderran Landward and Cluny,auchterderran-landward-and-cluny,,294,
auchterless-and-monquhitter-01,Auchterless and Monquhitter - 01,auchterless-and-monquhitter-01,,295,
auchterless-and-monquhitter-02,Auchterless and Monquhitter - 02,auchterless-and-monquhitter-02,,296,
auchterless-and-monquhitter-03,Auchterless and Monquhitter - 03,auchterless-and-monquhitter-03,,297,
auchterless-and-monquhitter-04,Auchterless and Monquhitter - 04,auchterless-and-monquhitter-04,,298,
auchtermuchty-east,Auchtermuchty East,auchtermuchty-east,,299,
auchtermuchty-west,Auchtermuchty West,auchtermuchty-west,,300,
auchtertool,Auchtertool,auchtertool,,301,
ayr-north-harbour-wallacetown-and-newton-south-01,"Ayr North Harbour, Wallacetown and Newton South - 01",ayr-north-harbour-wallacetown-and-newton-south-01,,302,
ayr-north-harbour-wallacetown-and-newton-south-02,"Ayr North Harbour, Wallacetown and Newton South - 02",ayr-north-harbour-wallacetown-and-newton-south-02,,303,
ayr-north-harbour-wallacetown-and-newton-south-03,"Ayr North Harbour, Wallacetown and Newton South - 03",ayr-north-harbour-wallacetown-and-newton-south-03,,304,
ayr-north-harbour-wallacetown-and-newton-south-04,"Ayr North Harbour, Wallacetown and Newton South - 04",ayr-north-harbour-wallacetown-and-newton-south-04,,305,
ayr-north-harbour-wallacetown-and-newton-south-05,"Ayr North Harbour, Wallacetown and Newton South - 05",ayr-north-harbour-wallacetown-and-newton-south-05,,306,
ayr-north-harbour-wallacetown-and-newton-south-06,"Ayr North Harbour, Wallacetown and Newton South - 06",ayr-north-harbour-wallacetown-and-newton-south-06,,307,
ayr-south-harbour-and-town-centre-01,Ayr South Harbour and Town Centre - 01,ayr-south-harbour-and-town-centre-01,,308,
ayr-south-harbour-and-town-centre-02,Ayr South Harbour and Town Centre - 02,ayr-south-harbour-and-town-centre-02,,309,
ayr-south-harbour-and-town-centre-03,Ayr South Harbour and Town Centre - 03,ayr-south-harbour-and-town-centre-03,,310,
ayr-south-harbour-and-town-centre-04,Ayr South Harbour and Town Centre - 04,ayr-south-harbour-and-town-centre-04,,311,
ayr-south-harbour-and-town-centre-05,Ayr South Harbour and Town Centre - 05,ayr-south-harbour-and-town-centre-05,,312,
ayr-south-harbour-and-town-centre-06,Ayr South Harbour and Town Centre - 06,ayr-south-harbour-and-town-centre-06,,313,
ayr-south-harbour-and-town-centre-07,Ayr South Harbour and Town Centre - 07,ayr-south-harbour-and-town-centre-07,,314,
ayton,Ayton,ayton,,315,
baberton-and-juniper-green-01,Baberton and Juniper Green - 01,baberton-and-juniper-green-01,,316,
baberton-and-juniper-green-02,Baberton and Juniper Green - 02,baberton-and-juniper-green-02,,317,
baberton-and-juniper-green-03,Baberton and Juniper Green - 03,baberton-and-juniper-green-03,,318,
baberton-and-juniper-green-04,Baberton and Juniper Green - 04,baberton-and-juniper-green-04,,319,
baberton-and-juniper-green-05,Baberton and Juniper Green - 05,baberton-and-juniper-green-05,,320,
badenoch-and-strathspey-central-01,Badenoch and Strathspey Central - 01,badenoch-and-strathspey-central-01,,321,
badenoch-and-strathspey-central-02,Badenoch and Strathspey Central - 02,badenoch-and-strathspey-central-02,,322,
badenoch-and-strathspey-central-03,Badenoch and Strathspey Central - 03,badenoch-and-strathspey-central-03,,323,
badenoch-and-strathspey-central-04,Badenoch and Strathspey Central - 04,badenoch-and-strathspey-central-04,,324,
badenoch-and-strathspey-central-05,Badenoch and Strathspey Central - 05,badenoch-and-strathspey-central-05,,325,
badenoch-and-strathspey-central-06,Badenoch and Strathspey Central - 06,badenoch-and-strathspey-central-06,,326,
badenoch-and-strathspey-north-01,Badenoch and Strathspey North - 01,badenoch-and-strathspey-north-01,,327,
badenoch-and-strathspey-north-02,Badenoch and Strathspey North - 02,badenoch-and-strathspey-north-02,,328,
badenoch-and-strathspey-north-03,Badenoch and Strathspey North - 03,badenoch-and-strathspey-north-03,,329,
badenoch-and-strathspey-north-04,Badenoch and Strathspey North - 04,badenoch-and-strathspey-north-04,,330,
badenoch-and-strathspey-north-05,Badenoch and Strathspey North - 05,badenoch-and-strathspey-north-05,,331,
badenoch-and-strathspey-north-06,Badenoch and Strathspey North - 06,badenoch-and-strathspey-north-06,,332,
badenoch-and-strathspey-south-01,Badenoch and Strathspey South - 01,badenoch-and-strathspey-south-01,,333,
badenoch-and-strathspey-south-02,Badenoch and Strathspey South - 02,badenoch-and-strathspey-south-02,,334,
badenoch-and-strathspey-south-03,Badenoch and Strathspey South - 03,badenoch-and-strathspey-south-03,,335,
badenoch-and-strathspey-south-04,Badenoch and Strathspey South - 04,badenoch-and-strathspey-south-04,,336,
badenoch-and-strathspey-south-05,Badenoch and Strathspey South - 05,badenoch-and-strathspey-south-05,,337,
baillieston-east-01,Baillieston East - 01,baillieston-east-01,,338,
baillieston-east-02,Baillieston East - 02,baillieston-east-02,,339,
baillieston-east-03,Baillieston East - 03,baillieston-east-03,,340,
baillieston-east-04,Baillieston East - 04,baillieston-east-04,,341,
baillieston-east-05,Baillieston East - 05,baillieston-east-05,,342,
baillieston-east-06,Baillieston East - 06,baillieston-east-06,,343,
baillieston-west-01,Baillieston West - 01,baillieston-west-01,,344,
baillieston-west-02,Baillieston West - 02,baillieston-west-02,,345,
baillieston-west-03,Baillieston West - 03,baillieston-west-03,,346,
baillieston-west-04,Baillieston West - 04,baillieston-west-04,,347,
baillieston-west-05,Baillieston West - 05,baillieston-west-05,,348,
balbridgeburn-north,Balbridgeburn North,balbridgeburn-north,,349,
balbridgeburn-south,Balbridgeburn South,balbridgeburn-south,,350,
balerno-and-bonnington-village-01,Balerno and Bonnington Village - 01,balerno-and-bonnington-village-01,,351,
balerno-and-bonnington-village-02,Balerno and Bonnington Village - 02,balerno-and-bonnington-village-02,,352,
balerno-and-bonnington-village-03,Balerno and Bonnington Village - 03,balerno-and-bonnington-village-03,,353,
balerno-and-bonnington-village-04,Balerno and Bonnington Village - 04,balerno-and-bonnington-village-04,,354,
balerno-and-bonnington-village-05,Balerno and Bonnington Village - 05,balerno-and-bonnington-village-05,,355,
balerno-and-bonnington-village-06,Balerno and Bonnington Village - 06,balerno-and-bonnington-village-06,,356,
balerno-and-bonnington-village-07,Balerno and Bonnington Village - 07,balerno-and-bonnington-village-07,,357,
balerno-and-bonnington-village-08,Balerno and Bonnington Village - 08,balerno-and-bonnington-village-08,,358,
balfarg,Balfarg,balfarg,,359,
balfarg-south,Balfarg South,balfarg-south,,360,
balfron-and-drymen-01,Balfron and Drymen - 01,balfron-and-drymen-01,,361,
balfron-and-drymen-02,Balfron and Drymen - 02,balfron-and-drymen-02,,362,
