AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
TLE13,North and North East Lincolnshire,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,4949.0,Pounds,£ million,,,,1,
TLE2,North Yorkshire,ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,3268.0,Pounds,£ million,,,,1,
TLE21,York,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1155.0,Pounds,£ million,,,,1,
TLE22,North Yorkshire CC,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,2114.0,Pounds,£ million,,,,1,
TLE3,South Yorkshire,ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,5596.0,Pounds,£ million,,,,1,
E47000002,South Yorkshire,Combined Authority or City Region,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,5596.0,Pounds,£ million,,,,1,
TLE31,"Barnsley, Doncaster and Rotherham",ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,2150.0,Pounds,£ million,,,,1,
TLE32,Sheffield,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,3446.0,Pounds,£ million,,,,1,
TLE4,West Yorkshire,ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,12728.0,Pounds,£ million,,,,1,
E47000003,West Yorkshire,Combined Authority or City Region,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,12728.0,Pounds,£ million,,,,1,
TLE41,Bradford,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,2690.0,Pounds,£ million,,,,1,
TLE42,Leeds,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,5361.0,Pounds,£ million,,,,1,
TLE44,Calderdale and Kirklees,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,3256.0,Pounds,£ million,,,,1,
TLE45,Wakefield,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1421.0,Pounds,£ million,,,,1,
TLF,East Midlands,ITL Level 1,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,30247.0,Pounds,£ million,,,,1,
TLF1,Derbyshire and Nottinghamshire,ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,18259.0,Pounds,£ million,,,,1,
TLF11,Derby,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,8407.0,Pounds,£ million,,,,1,
TLF12,East Derbyshire,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1210.0,Pounds,£ million,,,,1,
TLF13,South and West Derbyshire,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,3747.0,Pounds,£ million,,,,1,
TLF14,Nottingham,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,2118.0,Pounds,£ million,,,,1,
TLF15,North Nottinghamshire,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1928.0,Pounds,£ million,,,,1,
TLF16,South Nottinghamshire,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,848.0,Pounds,£ million,,,,1,
TLF2,"Leicestershire, Rutland and Northamptonshire",ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,9878.0,Pounds,£ million,,,,1,
TLF21,Leicester,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1055.0,Pounds,£ million,,,,1,
TLF22,Leicestershire CC and Rutland,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,3640.0,Pounds,£ million,,,,1,
TLF24,West Northamptonshire,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,3314.0,Pounds,£ million,,,,1,
TLF25,North Northamptonshire,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1869.0,Pounds,£ million,,,,1,
TLF3,Lincolnshire,ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,2110.0,Pounds,£ million,,,,1,
TLF30,Lincolnshire CC,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,2110.0,Pounds,£ million,,,,1,
TLG,West Midlands,ITL Level 1,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,40519.0,Pounds,£ million,,,,1,
TLG1,"Herefordshire, Worcestershire and Warwickshire",ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,8914.0,Pounds,£ million,,,,1,
TLG11,"Herefordshire, County of",ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,499.0,Pounds,£ million,,,,1,
TLG12,Worcestershire CC,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,2131.0,Pounds,£ million,,,,1,
TLG13,Warwickshire CC,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,6284.0,Pounds,£ million,,,,1,
TLG2,Shropshire and Staffordshire,ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,11308.0,Pounds,£ million,,,,1,
TLG21,Telford and Wrekin,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,2302.0,Pounds,£ million,,,,1,
TLG22,Shropshire,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1040.0,Pounds,£ million,,,,1,
TLG23,Stoke-on-Trent,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,2836.0,Pounds,£ million,,,,1,
TLG24,Staffordshire CC,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,5131.0,Pounds,£ million,,,,1,
TLG3,West Midlands,ITL Level 2,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,20296.0,Pounds,£ million,,,,1,
E47000007,West Midlands,Combined Authority or City Region,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,20296.0,Pounds,£ million,,,,1,
TLG31,Birmingham,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,7409.0,Pounds,£ million,,,,1,
TLG32,Solihull,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,4853.0,Pounds,£ million,,,,1,
TLG33,Coventry,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,3659.0,Pounds,£ million,,,,1,
TLG36,Dudley,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,698.0,Pounds,£ million,,,,1,
TLG37,Sandwell,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1229.0,Pounds,£ million,,,,1,
TLG38,Walsall,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1158.0,Pounds,£ million,,,,1,
TLG39,Wolverhampton,ITL Level 3,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,1290.0,Pounds,£ million,,,,1,
TLH,East of England,ITL Level 1,Total value of UK exports,Total value of UK exports,Mission 1,"Boosting productivity, pay, jobs and living standards",2021,51057.0,Pounds,£ million,,,,1,
