AREANM,AREACD,Period,Observation
enler,95ii10w1,1998,2.387
galwally,95ii11w1,1998,16.534
gilnahirk,95ii12w1,1998,11.669
graham-s-bridge,95ii13w1,1998,47.359
hillfoot,95ii14w1,1998,7.463
knockbracken_1,95ii15s1,1998,5.487
knockbracken_2,95ii15s2,1998,2.879
lisnasharragh,95ii16w1,1998,111.122
lower-braniel,95ii17w1,1998,6.592
minnowburn,95ii18w1,1998,6.748
moneyreagh_1,95ii19s1,1998,58.304
moneyreagh_2,95ii19s2,1998,20.167
newtownbreda,95ii20w1,1998,41.437
tullycarnet,95ii21w1,1998,3.079
upper-braniel,95ii22w1,1998,4.887
wynchurch,95ii23w1,1998,8.201
agivey,95jj01w1,1998,17.959
atlantic,95jj02w1,1998,6.096
ballysally_1,95jj03s1,1998,2.315
ballysally_2,95jj03s2,1998,0.056
castlerock_1,95jj04s1,1998,8.679
castlerock_2,95jj04s2,1998,5.177
central_coleraine,95jj05w1,1998,136.689
churchland,95jj06w1,1998,1.964
cross-glebe,95jj07w1,1998,17.385
dundooan_1,95jj08s1,1998,26.431
dundooan_2,95jj08s2,1998,7.755
dunluce,95jj09w1,1998,12.881
garvagh,95jj10w1,1998,27.589
hopefield_1,95jj11s1,1998,4.425
hopefield_2,95jj11s2,1998,5.135
kilrea,95jj12w1,1998,19.184
knocklynn_1,95jj13s1,1998,36.556
knocklynn_2,95jj13s2,1998,4.455
macosquin,95jj14w1,1998,11.639
mount-sandel,95jj15w1,1998,53.062
portstewart,95jj16w1,1998,26.022
ringsend,95jj17w1,1998,15.44
royal-portrush,95jj18w1,1998,19.281
strand_1_coleraine,95jj19s1,1998,7.075
strand_2_coleraine,95jj19s2,1998,5.74
the-cuts_1,95jj20s1,1998,20.148
the-cuts_2,95jj20s2,1998,3.335
university,95jj21w1,1998,46.577
waterside,95jj22w1,1998,27.02
ardboe,95kk01w1,1998,5.199
coagh,95kk02w1,1998,33.38
dunnamore,95kk03w1,1998,15.904
gortalowry,95kk04w1,1998,51.944
killycolpy,95kk05w1,1998,18.743
killymoon,95kk06w1,1998,59.666
lissan,95kk07w1,1998,32.015
moneymore,95kk08w1,1998,13.869
newbuildings,95kk09w1,1998,32.487
oaklands,95kk10w1,1998,19.264
oldtown,95kk11w1,1998,19.86
pomeroy,95kk12w1,1998,20.624
sandholes,95kk13w1,1998,36.311
stewartstown,95kk14w1,1998,13.871
the-loop,95kk15w1,1998,23.234
tullagh,95kk16w1,1998,24.779
aghagallon_1,95ll01s1,1998,12.848
aghagallon_2,95ll01s2,1998,32.235
annagh_1,95ll02s1,1998,15.281
annagh_2,95ll02s2,1998,40.652
ballybay,95ll03w1,1998,12.668
ballyoran,95ll04w1,1998,8.112
bleary_1,95ll05s1,1998,46.91
bleary_2,95ll05s2,1998,8.507
brownstown_1,95ll06s1,1998,29.218
brownstown_2,95ll06s2,1998,18.739
church,95ll07w1,1998,13.81
corcrain_1,95ll08s1,1998,3.983
corcrain_2,95ll08s2,1998,18.739
court_1,95ll09s1,1998,14.46
court_2,95ll09s2,1998,30.497
derrytrasna_1,95ll10s1,1998,51.564
derrytrasna_2,95ll10s2,1998,7.782
donaghcloney_1,95ll11s1,1998,5.047
donaghcloney_2,95ll11s2,1998,10.843
drumgask_1,95ll12s1,1998,8.44
drumgask_2,95ll12s2,1998,3.835
drumgor_1,95ll13s1,1998,37.398
drumgor_2,95ll13s2,1998,3.835
drumnamoe_1,95ll14s1,1998,0.615
drumnamoe_2,95ll14s2,1998,2.166
edenderry_1,95ll15s1,1998,33.443
edenderry_2,95ll15s2,1998,4.418
kernan_1,95ll16s1,1998,46.91
kernan_2,95ll16s2,1998,248.09
killycomain,95ll17w1,1998,9.509
knocknashane_1,95ll18s1,1998,8.367
knocknashane_2,95ll18s2,1998,4.8
magheralin_1,95ll19s1,1998,8.447
magheralin_2,95ll19s2,1998,18.385
mourneview,95ll20w1,1998,10.119
parklake,95ll21w1,1998,25.397
taghnevan,95ll22w1,1998,9.305
tavanagh,95ll23w1,1998,7.107
the-birches_1,95ll24s1,1998,10.826
the-birches_2,95ll24s2,1998,5.982
waringstown_1,95ll25s1,1998,12.607
waringstown_2,95ll25s2,1998,3.563
woodville_1,95ll26s1,1998,11.369
woodville_2,95ll26s2,1998,2.269
altnagelvin_1,95mm01s1,1998,2.481
altnagelvin_2,95mm01s2,1998,59.301
altnagelvin_3,95mm01s3,1998,6.443
ballynashallog_1,95mm02s1,1998,16.501
ballynashallog_2,95mm02s2,1998,3.758
banagher,95mm03w1,1998,12.602
beechwood,95mm04w1,1998,7.342
brandywell,95mm05w1,1998,8.889
carn-hill_1,95mm06s1,1998,3.758
carn-hill_2,95mm06s2,1998,10.595
caw,95mm07w1,1998,9.908
clondermot_1,95mm08s1,1998,13.109
clondermot_2,95mm08s2,1998,25.461
claudy_1,95mm09s1,1998,7.649
claudy_2,95mm09s2,1998,5.976
creggan-central_1,95mm10s1,1998,5.691
creggan-central_2,95mm10s2,1998,0.095
