AREACD,AREANM,Geography,Variable Name,Indicator,Mission,Category,Period,Observation,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status,Polarity,Notes
e06000016,leicester,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.38053097345133,Percentage,%,,,,1,
e06000061,north-northamptonshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,91.54929577464787,Percentage,%,,,,1,
e06000018,nottingham,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,93.39622641509432,Percentage,%,,,,1,
e06000017,rutland,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,100.0,Percentage,%,,,,1,
e06000062,west-northamptonshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.86021505376344,Percentage,%,,,,1,
e10000007,derbyshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,85.91885441527447,Percentage,%,,,,1,
e10000018,leicestershire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.00709219858155,Percentage,%,,,,1,
e10000019,lincolnshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,86.14958448753463,Percentage,%,,,,1,
e10000024,nottinghamshire,county-or-unitary-authority,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,90.82840236686393,Percentage,%,,,,1,
e12000005,west-midlands,region,State-funded schools rated good or outstanding,State-funded schools rated good or outstanding,Mission 5,Spreading opportunity and improving public services,2024-09-31t00-00-00,89.28126298296635,Percentage,%,,,,1,
