indicator,areacd,areanm,geography,observation,unit,measure,period,lower_confidence_interval_95,upper_confidence_interval_95,observation_status
Inward foreign direct investment,E47000001,Greater Manchester,ITL Level 2,34208,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000001,Greater Manchester,ITL Level 2,34182,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000001,Greater Manchester,ITL Level 2,41792,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000001,Greater Manchester,Combined Authority or City Region,41792,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,E47000001,Greater Manchester,Combined Authority or City Region,34182,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,E47000001,Greater Manchester,Combined Authority or City Region,34208,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,E47000001,Greater Manchester,Combined Authority or City Region,43452,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,E47000001,Greater Manchester,Combined Authority or City Region,33188,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,E47000001,Greater Manchester,Combined Authority or City Region,28770,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,E47000001,Greater Manchester,Combined Authority or City Region,29006,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLD4,Lancashire,ITL Level 2,10528,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLD4,Lancashire,ITL Level 2,29207,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLD4,Lancashire,ITL Level 2,9190,£ million,Pounds,2017-01-01/P1Y,,,
Inward foreign direct investment,TLD4,Lancashire,ITL Level 2,10877,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLD4,Lancashire,ITL Level 2,9716,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLD4,Lancashire,ITL Level 2,9416,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLD4,Lancashire,ITL Level 2,37193,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLD6,Cheshire,ITL Level 2,29176,£ million,Pounds,2021-01-01/P1Y,,,
Inward foreign direct investment,TLD6,Cheshire,ITL Level 2,21896,£ million,Pounds,2019-01-01/P1Y,,,
Inward foreign direct investment,TLD6,Cheshire,ITL Level 2,21325,£ million,Pounds,2018-01-01/P1Y,,,
Inward foreign direct investment,TLD6,Cheshire,ITL Level 2,24838,£ million,Pounds,2020-01-01/P1Y,,,
Inward foreign direct investment,TLD6,Cheshire,ITL Level 2,9807,£ million,Pounds,2016-01-01/P1Y,,,
Inward foreign direct investment,TLD6,Cheshire,ITL Level 2,20784,£ million,Pounds,2015-01-01/P1Y,,,
Inward foreign direct investment,TLD6,Cheshire,ITL Level 2,41288,£ million,Pounds,2017-01-01/P1Y,,,
