areacd,areanm,geography,indicator,period,observation,measure,unit,lci_95,uci_95,status,notes,notes
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,1109,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,1132,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1263,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1286,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000001,Isle of Anglesey,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,1194,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,711,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,560,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,741,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,859,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,807,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,942,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,701,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,856,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,887,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1114,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,851,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,988,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000002,Gwynedd,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1060,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,735,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,791,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,591,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,649,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,685,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,977,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,517,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,920,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,973,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,775,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1131,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1157,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000003,Conwy,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1165,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,624,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,723,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,710,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,588,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,643,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,611,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,987,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,934,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,909,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,703,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1228,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1108,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000004,Denbighshire,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1174,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,489,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,530,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,645,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,698,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,601,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,766,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,658,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,725,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,905,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,998,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,983,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,736,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000005,Flintshire,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,583,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,603,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,674,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,725,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,652,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,634,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,774,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,542,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,931,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,872,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,596,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1074,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,958,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000006,Wrexham,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1056,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,721,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,467,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,636,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,587,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,598,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,699,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,664,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1023,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,794,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,651,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,595,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,858,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000023,Powys,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,742,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,605,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,494,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,598,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,643,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,587,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,518,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,732,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,611,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,778,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,716,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,837,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,937,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000008,Ceredigion,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,941,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,881,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,1013,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,778,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,821,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,851,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,1102,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,670,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,1070,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,1133,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,947,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1013,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1157,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000009,Pembrokeshire,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1120,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,706,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,782,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,867,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,828,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,794,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,942,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,989,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,1044,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,955,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,866,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1101,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1061,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000010,Carmarthenshire,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1296,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,815,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,863,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,845,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,954,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,775,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,878,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,893,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1290,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,865,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,915,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,733,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,925,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000011,Swansea,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,926,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,1021,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,1107,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,975,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,961,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,1111,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,1256,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,960,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,1068,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,1109,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,897,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1064,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,956,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000012,Neath Port Talbot,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1589,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,793,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,888,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2022-08-01/P1Y,1002,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2021-08-01/P1Y,835,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,951,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2019-08-01/P1Y,1099,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2018-08-01/P1Y,1069,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2016-08-01/P1Y,1022,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2015-08-01/P1Y,902,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2014-08-01/P1Y,709,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2013-08-01/P1Y,1057,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2012-08-01/P1Y,1132,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000013,Bridgend,Local Authority District,Apprenticeship starts (Wales),2017-08-01/P1Y,1372,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2020-08-01/P1Y,692,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2024-08-01/P1Y,668,"Rate per 100,000 population","Rate per 100,000 population",,,,,
W06000014,Vale of Glamorgan,Local Authority District,Apprenticeship starts (Wales),2023-08-01/P1Y,760,"Rate per 100,000 population","Rate per 100,000 population",,,,,
