AREACD,AREANM,Geography,Indicator,Observation,Unit,Measure,Period,Lower_confidence_interval_95,Upper_confidence_interval_95,Observation_status
s12000005,clackmannanshire,local-authority-district,apprenticeships-starts-scotland,722.4859127,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000005,clackmannanshire,local-authority-district,apprenticeships-starts-scotland,747.2300953,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000005,clackmannanshire,local-authority-district,apprenticeships-starts-scotland,812.7216781,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000005,clackmannanshire,local-authority-district,apprenticeships-starts-scotland,678.6427146,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000005,clackmannanshire,local-authority-district,apprenticeships-starts-scotland,701.4809041,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000005,clackmannanshire,local-authority-district,apprenticeships-starts-scotland,679.209561,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000005,clackmannanshire,local-authority-district,apprenticeships-starts-scotland,766.9215254,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,520.938497,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,575.0514881,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,496.4665168,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,572.8320851,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,456.0181435,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,505.9375151,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,525.6590863,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,600.5407259,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,608.6209366,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,597.6427636,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,560.9463888,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000006,dumfries-and-galloway,local-authority-district,apprenticeships-starts-scotland,704.9466289,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,357.1658408,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,533.9387276,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,542.6399513,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,538.6887372,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,501.3425922,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,543.6183236,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,584.2956308,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,589.109997,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,577.740017,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,586.8697036,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,519.4510052,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000042,dundee-city,local-authority-district,apprenticeships-starts-scotland,578.9396435,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,715.5083194,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,747.3529178,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,780.7735757,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,705.0987138,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,706.3854447,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,475.3833656,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,622.4873557,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,784.574997,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,722.3983227,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,609.5687425,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,674.0972442,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000008,east-ayrshire,local-authority-district,apprenticeships-starts-scotland,720.4538859,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,453.2344458,"Rate per 100,000 population","Rate per 100,000 population",2021-2022,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,494.9228699,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,463.7816556,"Rate per 100,000 population","Rate per 100,000 population",2023-2024,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,482.3383944,"Rate per 100,000 population","Rate per 100,000 population",2022-2023,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,531.8497914,"Rate per 100,000 population","Rate per 100,000 population",2019-2020,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,341.9660262,"Rate per 100,000 population","Rate per 100,000 population",2020-2021,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,493.6648205,"Rate per 100,000 population","Rate per 100,000 population",2017-2018,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,449.875857,"Rate per 100,000 population","Rate per 100,000 population",2013-2014,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,448.344617,"Rate per 100,000 population","Rate per 100,000 population",2014-2015,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,425.9304685,"Rate per 100,000 population","Rate per 100,000 population",2018-2019,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,454.5352769,"Rate per 100,000 population","Rate per 100,000 population",2016-2017,,,
s12000045,east-dunbartonshire,local-authority-district,apprenticeships-starts-scotland,414.3460295,"Rate per 100,000 population","Rate per 100,000 population",2015-2016,,,
s12000010,east-lothian,local-authority-district,apprenticeships-starts-scotland,580.5127328,"Rate per 100,000 population","Rate per 100,000 population",2024-2025,,,
